Date,Max T (F),Min T (F),Avg T (F),Precipitation (inches),Precipitation (mm)
12/1/2016,52,38,45,0.18,4.57
12/2/2016,47,39,43,0.17,4.32
12/3/2016,51,43,47,0.55,13.97
12/4/2016,50,39,44.5,0.74,18.8
12/5/2016,50,34,42,0.55,13.97
12/6/2016,41,31,36,0.22,5.59
12/7/2016,42,29,35.5,0,0
12/8/2016,38,30,34,0,0
12/9/2016,38,31,34.5,0.42,10.67
12/10/2016,41,33,37,0.43,10.92
12/11/2016,45,35,40,0.65,16.51
12/12/2016,44,38,41,1.17,29.72
12/13/2016,48,36,42,0.1,2.54
12/14/2016,42,32,37,0,0
12/15/2016,38,33,35.5,0,0
12/16/2016,41,26,33.5,0,0
12/17/2016,37,25,31,0,0
12/18/2016,36,27,31.5,0,0
12/19/2016,50,34,42,1.28,32.51
12/20/2016,53,41,47,0.99,25.15
12/21/2016,50,31,40.5,0,0
12/22/2016,42,31,36.5,0.01,0.25
12/23/2016,44,33,38.5,1.2,30.48
12/24/2016,42,30,36,0.02,0.51
12/25/2016,36,30,33,0.01,0.25
12/26/2016,40,32,36,0,0
12/27/2016,44,32,38,1.6,40.64
12/28/2016,46,32,39,0.41,10.41
12/29/2016,46,34,40,0.01,0.25
12/30/2016,47,33,40,0.61,15.49
12/31/2016,47,30,38.5,0,0
1/1/2017,42,31,36.5,0.53,13.46
1/2/2017,39,30,34.5,0,0
1/3/2017,38,29,33.5,0,0
1/4/2017,36,28,32,0,0
1/5/2017,40,24,32,0,0
1/6/2017,47,22,34.5,0,0
1/7/2017,42,22,32,0,0
1/8/2017,36,31,33.5,0.22,5.59
1/9/2017,44,35,39.5,0.82,20.83
1/10/2017,42,35,38.5,0.2,5.08
1/11/2017,40,33,36.5,0,0
1/12/2017,40,28,34,0,0
1/13/2017,42,25,33.5,0,0
1/14/2017,37,26,31.5,0,0
1/15/2017,44,28,36,0,0
1/16/2017,47,28,37.5,0,0
1/17/2017,47,31,39,0.01,0.25
1/18/2017,53,41,47,2.56,65.02
1/19/2017,53,46,49.5,1.75,44.45
1/20/2017,48,41,44.5,1.03,26.16
1/21/2017,46,38,42,0.1,2.54
1/22/2017,48,38,43,0.1,2.54
1/23/2017,47,36,41.5,0.03,0.76
1/24/2017,54,30,42,0,0
1/25/2017,40,31,35.5,0,0
1/26/2017,47,39,43,T,#VALUE!
1/27/2017,47,35,41,0,0
1/28/2017,51,35,43,0,0
1/29/2017,47,36,41.5,0,0
1/30/2017,47,36,41.5,0.01,0.25
1/31/2017,46,35,40.5,0,0
2/1/2017,47,30,38.5,0,0
2/2/2017,42,32,37,0,0
2/3/2017,45,34,39.5,0.05,1.27
2/4/2017,47,36,41.5,0.72,18.29
2/5/2017,46,37,41.5,0.6,15.24
2/6/2017,37,32,34.5,0.66,16.76
2/7/2017,44,31,37.5,0.13,3.3
2/8/2017,42,33,37.5,0.14,3.56
2/9/2017,53,33,43,2.45,62.23
2/10/2017,54,45,49.5,0.46,11.68
2/11/2017,46,34,40,0.28,7.11
2/12/2017,48,34,41,0.07,1.78
2/13/2017,53,33,43,T,#VALUE!
2/14/2017,58,35,46.5,0,0
2/15/2017,55,36,45.5,1.3,33.02
2/16/2017,56,47,51.5,1.06,26.92
2/17/2017,51,41,46,0.18,4.57
2/18/2017,55,41,48,0,0
2/19/2017,47,40,43.5,0.26,6.6
2/20/2017,47,40,43.5,0.47,11.94
2/21/2017,46,41,43.5,0.01,0.25
2/22/2017,50,32,41,0.02,0.51
2/23/2017,46,29,37.5,T,#VALUE!
2/24/2017,47,29,38,0.08,2.03
2/25/2017,47,28,37.5,0.02,0.51
2/26/2017,45,28,36.5,0.75,19.05
2/27/2017,42,33,37.5,0.03,0.76
2/28/2017,44,34,39,0.2,5.08
12/1/2017,48,39,43.5,0.16,4.06
12/2/2017,48,40,44,1.13,28.7
12/3/2017,44,33,38.5,0.54,13.72
12/4/2017,43,33,38,0.01,0.25
12/5/2017,39,31,35,0,0
12/6/2017,47,35,41,0,0
12/7/2017,53,37,45,0,0
12/8/2017,56,33,44.5,0,0
12/9/2017,56,32,44,0,0
12/10/2017,46,32,39,0,0
12/11/2017,50,32,41,0,0
12/12/2017,51,32,41.5,0,0
12/13/2017,49,35,42,0,0
12/14/2017,50,35,42.5,0,0
12/15/2017,51,35,43,0,0
12/16/2017,50,38,44,0.06,1.52
12/17/2017,47,42,44.5,0.24,6.1
12/18/2017,51,46,48.5,0.82,20.83
12/19/2017,52,42,47,1.84,46.74
12/20/2017,52,32,42,0.72,18.29
12/21/2017,47,19,33,0,0
12/22/2017,42,29,35.5,0.1,2.54
